uid,snd,run,time,target,generation,logsigma,parvec,submit
1001,abstract,1,80.3007128239,angry,10,-2.8,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",0
1001,abstract,1,87.643296957,angry,11,-3.0,"[0.28984743306293437, 1.0, 1.0, 0.0, 0.22386513478861925, 0.5388622485084307, 0.0, 0.9814462051176498, 0.4292678035606663, 0.5379218666471499, 0.0]",1
1001,abstract,1,7.3021709919,disgusted,0,-0.8,"[0.23080876863345834, 0.0, 0.8682106617751919, 0.5037916688757095, 0.10650321931234341, 0.4633275540463623, 0.0009615602010856833, 0.0, 0.0, 0.28414554443756, 0.8755942715931646]",0
1001,abstract,1,13.8902199268,disgusted,1,-1.0,"[0.23080876863345834, 0.0, 0.8682106617751919, 0.5037916688757095, 0.10650321931234341, 0.4633275540463623, 0.0009615602010856833, 0.0, 0.0, 0.28414554443756, 0.8755942715931646]",0
1001,abstract,1,24.8825969696,disgusted,2,-1.2,"[0.23080876863345834, 0.0, 0.8682106617751919, 0.5037916688757095, 0.10650321931234341, 0.4633275540463623, 0.0009615602010856833, 0.0, 0.0, 0.28414554443756, 0.8755942715931646]",0
1001,abstract,1,30.7214708328,disgusted,3,-1.4,"[0.23080876863345834, 0.0, 0.8682106617751919, 0.5037916688757095, 0.10650321931234341, 0.4633275540463623, 0.0009615602010856833, 0.0, 0.0, 0.28414554443756, 0.8755942715931646]",0
1001,abstract,1,38.113312006,disgusted,4,-1.6,"[0.2218118018813708, 0.0, 0.9655238568755098, 0.962213323111794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6429964703823443, 0.7260738228993961]",0
1001,abstract,1,45.138573885,disgusted,5,-1.8,"[0.2218118018813708, 0.0, 0.9655238568755098, 0.962213323111794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6429964703823443, 0.7260738228993961]",0
1001,abstract,1,56.9512269497,disgusted,6,-2.0,"[0.2218118018813708, 0.0, 0.9655238568755098, 0.962213323111794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6429964703823443, 0.7260738228993961]",0
1001,abstract,1,63.7827990055,disgusted,7,-2.2,"[0.2218118018813708, 0.0, 0.9655238568755098, 0.962213323111794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6429964703823443, 0.7260738228993961]",0
1001,abstract,1,70.1548218727,disgusted,8,-2.4,"[0.2218118018813708, 0.0, 0.9655238568755098, 0.962213323111794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6429964703823443, 0.7260738228993961]",1
1001,abstract,1,5.89287495613,sad,0,-0.8,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,13.8593668938,sad,1,-1.0,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,19.8152987957,sad,2,-1.2,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,26.9384968281,sad,3,-1.4,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,34.5086348057,sad,4,-1.6,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,41.7108139992,sad,5,-1.8,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,66.7069878578,sad,6,-2.0,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,73.5804338455,sad,7,-2.2,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,80.1614098549,sad,8,-2.4,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",0
1001,abstract,1,89.4135429859,sad,9,-2.6,"[0.6862831665503352, 0.8972831763070857, 0.13770080821822123, 0.43199606161570425, 0.4374263985177523, 0.0, 0.0, 0.041117519862916826, 0.0, 1.0, 0.45807016851536586]",1
1001,abstract,1,7.89708995819,calm,0,-0.8,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,13.7910130024,calm,1,-1.0,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,19.1574010849,calm,2,-1.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,25.298648119,calm,3,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,31.5850229263,calm,4,-1.6,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,38.7261891365,calm,5,-1.8,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,46.8123710155,calm,6,-2.0,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,53.9628589153,calm,7,-2.2,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,61.0864889622,calm,8,-2.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,68.8643500805,calm,9,-2.6,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
1001,abstract,1,85.6477370262,calm,10,-2.8,"[0.4768725952281338, 0.3078423211992298, 0.48337014193332606, 0.4423768170484883, 0.4961133571128709, 0.0, 0.0, 0.0, 0.0, 0.525408099686048, 0.38428611245738303]",0
1001,abstract,1,95.5960121155,calm,11,-3.0,"[0.4768725952281338, 0.3078423211992298, 0.48337014193332606, 0.4423768170484883, 0.4961133571128709, 0.0, 0.0, 0.0, 0.0, 0.525408099686048, 0.38428611245738303]",1
